# Variable usage in CMIP6 dataset list compiled by WGI TSU based on IPCC author information
# Call: ./varlist4dreq.py output/cmip6_list_2022-05-17.json
# Date: 2022-05-20
#
Variable,Count
3hr.tos,1
6hrPlevPt.ua,26
6hrPlevPt.va,26
AERmon.co2,3
AERmon.mmrbc,74
AERmon.mmrdust,74
AERmon.mmroa,74
AERmon.mmrpm2p5,6
AERmon.mmrso4,73
AERmon.mmrss,74
AERmon.o3,114
AERmon.od550aer,156
AERmon.oh,7
AERmon.phalf,24
AERmon.ps,2
AERmon.ptp,56
Amon.co2,18
Amon.co2mass,4
Amon.evspsbl,523
Amon.hfls,51
Amon.hfss,8
Amon.hurs,128
Amon.hus,51
Amon.mrro,1
Amon.pr,1685
Amon.prw,638
Amon.ps,9
Amon.psl,1383
Amon.rlds,58
Amon.rlus,57
Amon.rlut,70
Amon.rlutcs,55
Amon.rsds,188
Amon.rsus,57
Amon.rsut,70
Amon.rsutcs,56
Amon.ta,181
Amon.tas,2189
Amon.tasmax,8
Amon.tasmin,10
Amon.ts,683
Amon.ua,637
Amon.uas,264
Amon.va,288
Amon.zg,55
Emon.cLand,45
Emon.cSoil,7
Emon.cSoilAbove1m,2
Emon.netAtmosLandCO2Flux,13
LImon.snc,106
LImon.snw,444
Lmon.burntFractionAll,1
Lmon.cVeg,8
Lmon.fFire,1
Lmon.gpp,39
Lmon.lai,44
Lmon.mrro,179
Lmon.mrso,176
Lmon.mrsos,164
Lmon.nbp,136
Lmon.npp,3
Lmon.ra,8
Lmon.rh,8
Lmon.tasmax,2
Lmon.tasmin,2
Lmon.treeFrac,2
Lmon.tsl,184
Ofx.areacello,64
Ofx.sftof,3
Ofx.volcello,34
Omon.cfc11,1
Omon.cfc12,1
Omon.chl,7
Omon.dfe,6
Omon.dissic,7
Omon.epc100,6
Omon.fgco2,157
Omon.hfds,72
Omon.intpp,1
Omon.mlotst,82
Omon.msftbarot,28
Omon.msftmyz,3
Omon.msftmz,96
Omon.msftyz,15
Omon.no3,7
Omon.o2,7
Omon.ph,35
Omon.phos,35
Omon.po4,6
Omon.si,5
Omon.so,235
Omon.sos,46
Omon.talk,7
Omon.tauuo,22
Omon.tauvo,22
Omon.thetao,342
Omon.thkcello,8
Omon.tos,1270
Omon.uo,57
Omon.vo,57
Omon.volcello,51
Omon.wfo,34
Omon.zos,2
Omon.zostoga,506
Oyr.fgco2,26
SIday.siconc,9
SImon.??,82
SImon.siarean,222
SImon.siareas,228
SImon.siconc,1563
SImon.siconca,95
SImon.zostoga,1
day.pr,535
day.tas,167
day.tasmax,508
day.tasmin,150
day.zg,166
fx.areacella,10
fx.sftlf,122
