# Variable usage in CMIP6 dataset list compiled by WGI TSU based on IPCC author information
# Call: ./varlist4dreq.py output/cmip6_list_2022-05-17.json
# Date: 2022-05-20
#
Variable,Count
1pctCO2-bgc.fgco2,9
1pctCO2-bgc.nbp,5
1pctCO2-bgc.netAtmosLandCO2Flux,4
1pctCO2-bgc.tas,9
1pctCO2-cdr.msftmyz,1
1pctCO2-cdr.msftmz,2
1pctCO2-cdr.msftyz,2
1pctCO2-cdr.pr,7
1pctCO2-cdr.siconc,3
1pctCO2-cdr.tas,7
1pctCO2-cdr.zostoga,7
1pctCO2.areacello,3
1pctCO2.fgco2,9
1pctCO2.msftmyz,1
1pctCO2.msftmz,2
1pctCO2.msftyz,2
1pctCO2.nbp,5
1pctCO2.netAtmosLandCO2Flux,4
1pctCO2.pr,7
1pctCO2.sftlf,1
1pctCO2.siconc,3
1pctCO2.tas,18
1pctCO2.zostoga,7
abrupt-4xCO2.tas,11
amip-hist.pr,48
amip-hist.psl,38
amip-hist.ua,48
amip.ta,46
amip.tsl,29
amip.uas,111
esm-hist.co2,11
esm-hist.co2mass,2
esm-hist.fgco2,9
esm-hist.nbp,9
esm-hist.ps,10
esm-hist.tas,11
esm-ssp585.co2,8
esm-ssp585.co2mass,2
esm-ssp585.tas,10
highres-future.tas,4
highres-future.tos,5
hist-1950.pr,10
hist-1950.tas,11
hist-1950.tos,10
hist-1950.zg,27
hist-CO2.siconc,13
hist-CO2.tas,13
hist-CO2.tos,13
hist-GHG.evspsbl,70
hist-GHG.pr,76
hist-GHG.psl,103
hist-GHG.siconc,95
hist-GHG.siconca,5
hist-GHG.tas,108
hist-GHG.tos,100
hist-GHG.zostoga,84
hist-aer.evspsbl,70
hist-aer.pr,76
hist-aer.psl,88
hist-aer.rsds,70
hist-aer.siconc,75
hist-aer.siconca,5
hist-aer.tas,94
hist-aer.tos,80
hist-aer.uas,58
hist-aer.zostoga,76
hist-bgc.areacello,1
hist-nat.evspsbl,70
hist-nat.o2,1
hist-nat.pr,173
hist-nat.psl,119
hist-nat.siconc,102
hist-nat.siconca,5
hist-nat.snw,60
hist-nat.so,19
hist-nat.tas,122
hist-nat.tasmax,38
hist-nat.thetao,38
hist-nat.thkcello,8
hist-nat.tos,104
hist-nat.uas,53
hist-nat.volcello,4
hist-nat.zostoga,101
hist-piAer.tas,6
hist-resIPO.areacella,1
hist-resIPO.sftlf,1
hist-sol.siconc,58
hist-sol.tas,58
hist-sol.tos,58
hist-stratO3.psl,26
hist-stratO3.siconc,26
hist-stratO3.tas,26
hist-stratO3.tos,26
hist-volc.siconc,53
hist-volc.tas,53
hist-volc.tos,53
histSST-piAer.rlut,7
histSST-piAer.rsut,7
histSST-piAer.tas,6
histSST.rlut,7
histSST.rsut,7
histSST.tas,6
historical.??,33
historical.areacella,5
historical.areacello,42
historical.burntFractionAll,1
historical.cLand,9
historical.cSoil,7
historical.cSoilAbove1m,2
historical.cVeg,8
historical.cfc11,1
historical.cfc12,1
historical.chl,7
historical.co2,2
historical.dfe,6
historical.dissic,7
historical.epc100,6
historical.evspsbl,105
historical.fFire,1
historical.fgco2,39
historical.gpp,38
historical.hfds,51
historical.hfls,51
historical.hfss,8
historical.hurs,34
historical.hus,51
historical.intpp,1
historical.lai,44
historical.mlotst,41
historical.mmrbc,16
historical.mmrdust,16
historical.mmroa,16
historical.mmrso4,15
