# Experiment usage in CMIP6 dataset list compiled by WGI TSU based on IPCC author information
# Call: ./varlist4dreq.py output/cmip6_list_2022-07-11.json
# Date: 2023-03-27
#
Experiment,Count
1pctCO2,61
1pctCO2-bgc,27
1pctCO2-cdr,29
abrupt-4xCO2,11
amip,186
amip-hist,134
esm-hist,52
esm-ssp585,20
highres-future,9
hist-1950,58
hist-CO2,39
hist-GHG,641
hist-aer,692
hist-bgc,1
hist-nat,1017
hist-piAer,6
hist-resIPO,2
hist-sol,174
hist-stratO3,104
hist-volc,159
histSST,20
histSST-piAer,20
historical,7565
land-hist,10
lgm,13
lig127k,19
midHolocene,29
midPliocene-eoi400,5
omip2,2
past1000,4
piControl,532
ssp119,201
ssp126,1253
ssp245,2530
ssp245-GHG,23
ssp245-aer,20
ssp245-covid,335
ssp245-nat,26
ssp370,936
ssp370-lowNTCF,57
ssp370-lowNTCFCH4,66
ssp370SST,11
ssp370pdSST,11
ssp534-over,48
ssp585,1750
ssp585-bgc,1
